"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"F.Clark","DE","Kansas City",5,36,0,0,5,3,0.26,1.89,3.97,"Roughing the Passer (2), Neutral Zone Infraction (2), Defensive Offside (1)"
"M.Morse","C","Buffalo",5,44,0,0,5,1,0.26,2.32,4.55,"Offensive Holding (3), False Start (1), Illegal Block Above the Waist (1)"
"K.Osemele","G","Kansas City",5,40,0,0,5,2,0.26,2.11,3.97,"Offensive Holding (3), False Start (2)"
"G.Bolles","T","Denver",4,30,1,2,7,2,0.25,1.88,8.54,"Offensive Holding (4), False Start (2), Illegal Block Above the Waist (1)"
"A.Oruwariye","CB","Detroit",4,46,3,0,7,0,0.25,2.88,7.29,"Defensive Holding (5), Defensive Pass Interference (2)"
"P.Desir","CB","N.Y. Jets",4,44,2,0,6,0,0.25,2.75,5.94,"Defensive Pass Interference (2), Illegal Contact (2), Defensive Holding (2)"
"T.Steele","T","Dallas",4,25,2,0,6,3,0.25,1.56,6.25,"Offensive Holding (3), False Start (2), Illegal Formation (1)"
"G.Jarrett","DT","Atlanta",4,37,1,0,5,2,0.25,2.31,6.02,"Roughing the Passer (2), Defensive Offside (2), Defensive Holding (1)"
"K.Miller","T","Las Vegas",4,30,1,0,5,2,0.25,1.88,5.1,"False Start (1), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Formation (1), Ineligible Downfield Pass (1)"
"M.McGlinchey","T","San Francisco",4,40,0,1,5,0,0.25,2.5,5.88,"Offensive Holding (5)"
"C.Goodwin","CB","Dallas",4,25,1,0,5,4,0.25,1.56,5.21,"Defensive Offside (4), Illegal Block Above the Waist (1)"
"K.Boyd","CB","Minnesota",4,33,1,0,5,1,0.25,2.06,6.1,"Illegal Block Above the Waist (3), Illegal Shift (1), Illegal Contact (1)"
"D.Good","G","Las Vegas",4,30,1,0,5,1,0.25,1.88,5.1,"Offensive Holding (3), False Start (1), Ineligible Downfield Pass (1)"
"C.Edoga","T","N.Y. Jets",4,30,1,0,5,2,0.25,1.88,4.95,"Offensive Holding (3), False Start (2)"
"B.Burns","DE","Carolina",4,50,1,0,5,2,0.25,3.13,5.26,"Unnecessary Roughness (2), Defensive Offside (2), Roughing the Passer (1)"
"B.Murphy","CB","Arizona",4,38,1,0,5,0,0.25,2.38,4.42,"Defensive Pass Interference (2), Defensive Holding (2), Illegal Block Above the Waist (1)"
"N.Gates","C","N.Y. Giants",4,35,0,1,5,1,0.25,2.19,6.17,"Offensive Holding (2), False Start (1), Unnecessary Roughness (1), Illegal Block Above the Waist (1)"
"I.Smith","TE","Minnesota",4,45,1,0,5,0,0.25,2.81,6.1,"Offensive Pass Interference (2), Offensive Holding (1), Illegal Block Above the Waist (1), Illegal Crackback (1)"
"J.Jackson","G","Detroit",4,30,0,1,5,3,0.25,1.88,5.21,"False Start (3), Offensive Holding (1), Illegal Blindside Block (1)"
"D.Trufant","CB","Detroit",4,37,1,0,5,0,0.25,2.31,5.21,"Defensive Pass Interference (2), Defensive Holding (2), Face Mask (15 Yards) (1)"
"T.Wirfs","T","Tampa Bay",5,40,0,0,5,2,0.25,2,4.95,"False Start (2), Offensive Holding (2), Illegal Use of Hands (1)"
