"Player","team","pos","base"
"Lawrence Guy","NE","DE","$3,100,000"
"Giovani Bernard","CIN","RB","$3,100,000"
"C.J. Uzomah","CIN","TE","$3,050,000"
"Robert Quinn","CHI","OLB","$3,000,000"
"Jimmy Graham","CHI","TE","$3,000,000"
"Danny Trevathan","CHI","ILB","$3,000,000"
"Kyle Van Noy","MIA","OLB","$3,000,000"
"Breshad Perriman","NYJ","WR","$3,000,000"
"Ndamukong Suh","TB","DT","$3,000,000"
"Ted Karras","MIA","C","$3,000,000"
"James White","NE","RB","$3,000,000"
"David Andrews","NE","C","$3,000,000"
"Josh Lambo","JAC","K","$3,000,000"
"Corey Peters","ARI","DE","$3,000,000"
"Brandon McManus","DEN","K","$3,000,000"
"Vonn Bell","CIN","FS","$3,000,000"
"Derrick Henry","TEN","RB","$3,000,000"
"Tavon Young","BAL","CB","$2,986,000"
"Thomas Morstead","NO","P","$2,950,000"
"Mike Davis","CAR","RB","$2,950,000"
"Austin Blythe","LAR","G","$2,950,000"
"Nick Williams","DET","DT","$2,900,000"
"Raheem Mostert","SF","RB","$2,875,000"
"Maxx Williams","ARI","TE","$2,850,000"
"Bobby Hart","CIN","RT","$2,850,000"
"Jeff Heath","LV","SS","$2,850,000"
"Troy Hill","LAR","CB","$2,850,000"
"Latavius Murray","NO","RB","$2,800,000"
"Vernon Butler","BUF","DT","$2,800,000"
"Josh Norman","BUF","CB","$2,800,000"
"John Ross","CIN","WR","$2,798,981"
"Romeo Okwara","DET","DE","$2,750,000"
"Eric Murray","HOU","SS","$2,750,000"
"Darren Fells","HOU","TE","$2,750,000"
"Tyson Alualu","PIT","DE","$2,750,000"
"Matt Prater","DET","K","$2,700,000"
"Virgil Green","LAC","TE","$2,700,000"
"Bradley Pinion","TB","P","$2,700,000"
"Markus Golden","ARI","OLB","$2,651,319"
"Jason McCourty","NE","CB","$2,650,000"
"Jon Feliciano","BUF","G","$2,650,000"
"Lee Smith","BUF","TE","$2,650,000"
"Kyler Fackrell","NYG","OLB","$2,600,000"
